episode,reward,epsilon,violations,scenario
0,166.14713514051263,0.985,0,mixed_urban
1,91.40010625104523,0.970225,0,city_stop_go
2,53.32911988545048,0.955671625,0,overtaking
3,59.52970039048822,0.941336550625,0,overtaking
4,57.34647842170166,0.927216502365625,0,overtaking
5,165.48597070124293,0.9133082548301407,0,city_stop_go
6,187.54802863120517,0.8996086310076885,0,mixed_urban
7,82.39571949207283,0.8861145015425732,0,city_stop_go
8,196.4579727750726,0.8728227840194346,0,mixed_urban
9,254.321544218219,0.8597304422591431,0,mixed_urban
10,61.321534570725014,0.8468344856252559,0,overtaking
11,164.45651692772068,0.834131968340877,0,city_stop_go
12,118.42779531779045,0.8216199888157638,0,city_stop_go
13,155.45940510096267,0.8092956889835273,0,city_stop_go
14,128.5027919170918,0.7971562536487744,0,city_stop_go
15,196.55352829561753,0.7851989098440427,0,city_stop_go
16,100.37926880704651,0.773420926196382,0,overtaking
17,242.43899642829513,0.7618196123034363,0,mixed_urban
18,145.40098165826507,0.7503923181188847,0,city_stop_go
19,96.35999914635966,0.7391364333471014,0,overtaking
20,60.26325384460427,0.7280493868468949,0,overtaking
21,91.4434198528783,0.7171286460441915,0,overtaking
22,267.405237089242,0.7063717163535286,0,mixed_urban
23,187.4710438496867,0.6957761406082257,0,city_stop_go
24,185.40855338173392,0.6853394984991023,0,city_stop_go
25,94.47957733374582,0.6750594060216157,0,overtaking
26,91.27829450820475,0.6649335149312915,0,overtaking
27,245.52490638479722,0.6549595122073221,0,city_stop_go
28,95.34770694850761,0.6451351195242122,0,overtaking
29,91.93979454287302,0.635458092731349,0,overtaking
30,82.34826768677313,0.6259262213403788,0,overtaking
31,259.4985411733524,0.6165373280202731,0,mixed_urban
32,261.5381442584252,0.607289268099969,0,mixed_urban
33,100.07127193516062,0.5981799290784694,0,overtaking
34,182.4351524153594,0.5892072301422924,0,city_stop_go
35,288.4081621269982,0.580369121690158,0,mixed_urban
36,209.55130527750026,0.5716635848648056,0,city_stop_go
37,230.56336045596487,0.5630886310918335,0,city_stop_go
38,291.546594207611,0.554642301625456,0,mixed_urban
39,110.15274191050946,0.5463226671010741,0,overtaking
40,335.36102103060097,0.538127827094558,0,mixed_urban
41,255.53306021808498,0.5300559096881396,0,city_stop_go
42,255.535458233751,0.5221050710428176,0,city_stop_go
43,89.41700374495316,0.5142734949771753,0,overtaking
44,265.5081343304086,0.5065593925525177,0,mixed_urban
45,221.53893915998222,0.4989610016642299,0,city_stop_go
46,135.41449277921126,0.49147658663926647,0,overtaking
47,231.56062295837395,0.48410443783967744,0,city_stop_go
48,240.48010323460497,0.47684287127208225,0,city_stop_go
49,230.47362617233588,0.469690228203001,0,city_stop_go
50,256.55196890906296,0.462644874779956,0,city_stop_go
51,318.43278019746657,0.4557052016582566,0,mixed_urban
52,76.51659594663516,0.4488696236333828,0,overtaking
53,95.4638893556125,0.44213657927888206,0,overtaking
54,123.30212681031044,0.43550453058969885,0,overtaking
55,314.50260722564127,0.42897196263085335,0,mixed_urban
56,128.46597369028166,0.42253738319139056,0,overtaking
57,316.456711602876,0.4161993224435197,0,mixed_urban
58,242.530712013392,0.4099563326068669,0,city_stop_go
59,230.4844760615546,0.4038069876177639,0,city_stop_go
