episode,reward,epsilon,violations,scenario
0,166.14713514051263,0.985,0,mixed_urban
1,35.99124796028875,0.970225,0,highway_cruise
2,56.79145833291576,0.955671625,0,highway_cruise
3,167.47619248322172,0.941336550625,0,city_stop_go
4,144.45997069863566,0.927216502365625,0,city_stop_go
5,-106.2529850034732,0.9133082548301407,45,mountain_climb
6,160.28031211264184,0.8996086310076885,0,mixed_urban
7,78.99212443593603,0.8861145015425732,0,highway_cruise
8,67.37867465810861,0.8728227840194346,0,overtaking
9,251.44427582135637,0.8597304422591431,0,mixed_urban
10,114.43853065757673,0.8468344856252559,0,city_stop_go
11,-151.1276354793857,0.834131968340877,51,mountain_climb
12,54.7605612622121,0.8216199888157638,0,highway_cruise
13,54.790245352006934,0.8092956889835273,0,highway_cruise
14,82.00353832668635,0.7971562536487744,0,highway_cruise
15,102.06236190373356,0.7851989098440427,0,highway_cruise
16,219.4963790902374,0.773420926196382,0,city_stop_go
17,275.46686035260336,0.7618196123034363,0,mixed_urban
18,-22.256983211788764,0.7503923181188847,32,mountain_climb
19,221.50631009159082,0.7391364333471014,0,city_stop_go
20,178.46577052663082,0.7280493868468949,0,city_stop_go
21,70.14815526488665,0.7171286460441915,0,overtaking
22,276.3920550659047,0.7063717163535286,0,mixed_urban
23,-39.2552187378059,0.6957761406082257,43,mountain_climb
24,85.07277120424621,0.6853394984991023,0,highway_cruise
25,99.98602209847289,0.6750594060216157,0,highway_cruise
26,156.4423805157399,0.6649335149312915,0,city_stop_go
27,-43.22951901122852,0.6549595122073221,46,mountain_climb
28,199.4828939107865,0.6451351195242122,0,city_stop_go
29,186.41754734443518,0.635458092731349,0,city_stop_go
30,171.42241501436197,0.6259262213403788,0,city_stop_go
31,106.25566567047825,0.6165373280202731,0,overtaking
32,330.5505546525162,0.607289268099969,0,mixed_urban
33,226.45544373898352,0.5981799290784694,0,city_stop_go
34,-123.35951599738934,0.5892072301422924,55,mountain_climb
35,292.33538580176156,0.580369121690158,0,mixed_urban
36,-41.12716511091646,0.5716635848648056,45,mountain_climb
37,75.70053840444587,0.5630886310918335,29,mountain_climb
38,74.42792041645525,0.554642301625456,0,overtaking
39,122.11120773947039,0.5463226671010741,0,highway_cruise
40,238.59738403581568,0.538127827094558,0,mixed_urban
41,118.07321790412426,0.5300559096881396,0,highway_cruise
42,135.8891987269423,0.5221050710428176,0,highway_cruise
43,120.2581024500603,0.5142734949771753,0,overtaking
44,294.38765296531955,0.5065593925525177,0,mixed_urban
45,62.856773369140726,0.4989610016642299,43,mountain_climb
46,208.43405236858032,0.49147658663926647,0,city_stop_go
47,32.86392204188398,0.48410443783967744,41,mountain_climb
48,164.0996497114721,0.47684287127208225,0,highway_cruise
49,133.0529679305752,0.469690228203001,0,highway_cruise
50,135.1175958424346,0.462644874779956,0,highway_cruise
51,310.5502148647451,0.4557052016582566,0,mixed_urban
52,75.3141184517353,0.4488696236333828,0,overtaking
53,266.50926341800186,0.44213657927888206,0,city_stop_go
54,267.51262306158486,0.43550453058969885,0,city_stop_go
55,275.4861327013254,0.42897196263085335,0,mixed_urban
56,244.45901965735456,0.42253738319139056,0,city_stop_go
57,357.51959475009403,0.4161993224435197,0,mixed_urban
58,115.06907062861718,0.4099563326068669,0,highway_cruise
59,166.92812186601873,0.4038069876177639,0,highway_cruise
60,64.86232078601701,0.39774988280349743,43,mountain_climb
61,124.00981697116313,0.391783634561445,0,highway_cruise
62,129.427373992493,0.3859068800430233,0,overtaking
63,73.86278506517974,0.380118276842378,42,mountain_climb
64,238.4817794594985,0.3744165026897423,0,city_stop_go
65,97.27587531226757,0.3688002551493962,0,overtaking
66,-40.14609155259033,0.36326825132215523,40,mountain_climb
67,120.21733784967054,0.3578192275523229,0,overtaking
68,354.51955726131,0.35245193913903805,0,mixed_urban
69,212.41218895808046,0.34716516005195247,0,city_stop_go
70,152.094604718185,0.34195768265117316,0,highway_cruise
71,419.6439454407372,0.33682831741140556,0,mixed_urban
